0,1,2,3,4,5,6,7,8,9,10,11
No,Nama dan Alamat Lengkap Obyek dan Daya Tarik Wisata,Luas Lahan,Nama Pengelola,Jenis ODTW,Jenis ODTW,Jenis ODTW,Jenis ODTW,Fasilitas,Jenis Atraksi Wisata,kordinat,kordinat
No,Nama dan Alamat Lengkap Obyek dan Daya Tarik Wisata,Luas Lahan,Nama Pengelola,Alam,Budaya,Buatan,Minat Khusus,Fasilitas,Jenis Atraksi Wisata,y,x
1,2,3,4,5,6,7,8,9,10,,
1,Wisata Kum Kum,,Markus,,,Buatan,,Parkir Kendaraan,kebun binatang mini,,
,Jl.,,0823 5842 4444,,,,,Kamar Mandi/WC/Toilet,pemandangan Alam,,
,Kelurahan Pahandut Sebrang,,,,,,,Fasilitas Air Bersih,Pusat Kuliner Khas Lokal,,
,,,,,,,,Failitas Penerangan/Listrik,Hiburan Umum,,
,,,,,,,,Tempat Sampah,,,
,,,,,,,,Penerangan Jalan Obyek Wisata,,,
,,,,,,,,Papan Informasi,,,
,,,,,,,,Sambungan Pusat Informasi Obyek Wisata,,,
,,,,,,,,Fasilitas Sarana Bersih,,,
,,,,,,,,Sarana Kuliner Obyek Wisata,,,
,,,,,,,,Sarana P3K,,,
2,Lapangan Golf Isen Mulang/Padan Uru Bahijau,,Siti,,,,Minat Khusus,Parkir Kendaraan,Olah Raga,,
,Jl. Tuah Pahoe,,0812 5089 208,,,,olah Raga,Kamar Mandi/WC/Toilet,,,
,"Kel. Jekan Raya, Kec. Bukit Tunggal",,,,,,,Fasilitas Air Bersih,,,
,,,,,,,,Failitas Penerangan/Listrik,,,
,,,,,,,,Tempat Sampah,,,
,,,,,,,,Penerangan Jalan Obyek Wisata,,,
,,,,,,,,Papan Informasi,,,
,,,,,,,,Sambungan Pusat Informasi Obyek Wisata,,,
,,,,,,,,Fasilitas Sarana Bersih,,,
,,,,,,,,Sarana Kuliner Obyek Wisata,,,
,,,,,,,,Sarana P3K,,,
,,,,,,,,Sarana Kamar Ganti,,,
,,,,,,,,,,,
3,Kawasan Wisata Jembatan Kahayan,,Muji Tahid,Alam,,Buatan,,Parkir Kendaraan,Pemandangan Alam,,
,Jl. S.Parman,,Jl.Mahakam RT 04 No 01,,,,,Kamar Mandi/WC/Toilet,Pusat Kuliner,,
,"Kel. Jekan Raya, Kec. Pahandut",,0856 5136 9208,,,,,Fasilitas Air Bersih,,,
,,,,,,,,Tempat Sampah,,,
,,,,,,,,Papan Informasi,,,
,,,,,,,,Sambungan Pusat Informasi Obyek Wisata,,,
,,,,,,,,Sarana Tempat Ibadah,,,
,,,,,,,,Sarana Kuliner,,,
,,,,,,,,Sarana Kamar Ganti,,,
,,,,,,,,,,,
4,Wisata Rawa Rofi,1.000 Km,Yulianto Eko Sunugroho,,,Buatan,Minat Khusus,Parkir Kendaraan,Tempat Hiburan Keluarga,,
,Jl Palangka Raya Bukit Rawi Km 2,,Jl. Dahlia No 10,,,,Mancing,Kamar Mandi/WC/Toilet,Kuliner,,
,"Kel. Pahandut Sebrang, Kec. Pahandut",,0812 5164 3555,,,,,"Perangkat Keselamatan (Pelampung,Baju Safety, Rambu-Rambu)",Pemancingan,,
