0,1,2,3,4,5,6,7
NO,NAMA HOTE/PENGINAPAN,KLASIFIKASI HOTEL,JUMLAH KAMAR,JUMLAH T.TIDUR,ALAMAT,FASILITAS,CONTACT
1,SWISSBEL HOTEL,BINTANG 4,150,–,JL. TJILIK RIWUT KM.5,"WIFI,ATM, Restorant, Aula, Ruang Rapat, Kolam Renang",0536-3232777
2,AQUARIUS BOUTIQUE HOTEL,BINTANG 4,110,157,JL. IMAM BONJOL NO. 5,"Restorant, Aula, Ruang Rapat, Vino Club, Kolam Renang",0536-32422121
3,HOTEL LUWANSA,BINTANG 3,96,96,JL. G.OBOS,"Restorant, Aula Spa, Meeting Room, Busines center . Laundry",0563-3242828
4,HOTEL NEO,BINTANG 2,91,91,Jl Tjilik Riwut Km 1 No 1 P.Raya,"Restourant, Spa",0536-3239888
5,HOTEL DANDANG TINGANG,BINTANG 2,54,82,JL. YOS SUDARSO NO.1,"Restorant, Aula, Ruang Rapat, Kolam Renang",0536-3221805
6,AMARIS HOTEL,BINTANG 2,63,93,Jln. S.Parman No. 60 A P.Raya,"AC, Baytab,Mobil, Meja, Kursi, WIFI, TV,Shower",0536-3223888
7,HOTEL GRAND GLOBAL,BINTANG 2,51,102,Jln. Tjilik Riwut No. 11 P.Raya,"TV, AC, Mini Bar, Air Panas, Dingin, WIFI, Restorant, Laundry",0536-322888
8,HOTEL BATU SULI INTERNASIONAL,BINTANG 2,77,140,Jln. Raden Saleh No. 4 P.Raya,"TV, WIFI, Air Panas, Kolam Renang, Telepon,",0536-3244765
9,HOTEL FOVERE,BINTANG 2,76,116,Jln. G.Obos No 97 P.Raya,"Restorant ,Meeting Rom",0536-4211173
10,HOTEL NASCAR FAMILY,BINTANG 2,44,55,Jl Nyai Undang no. O4,"Ac, Air Panas, TV, shower, Mini Bar, Wifi",0536-4213022
11,HOTEL SAKURA,MELATI 3,35,58,Jln. A.Yani No. 87 P.Raya,"TV, Restoran, AC, WIFI, Telepon",0536-3222355/3226769
12,HOTEL MINA,MELATI 3,40,50,Jln. Nias No. 17 P.Raya,"AC, TV, Meja Kursi",0536-322182/3265642
13,HOTEL PUTIR SINTA,MELATI 3,64,–,Jln. Nias No. 15 P.Raya,TV,0536-3221132
14,HOTEL RACHMAN,MELATI 3,20,40,Jln. Dr. Murjani No.9 P.Raya,"AC, TV, Kipas Angin, Serapan",0536-3221428
15,HOTEL HALMAHERA,MELATI 3,49,74,Jln. Halmahera No. 55 P.Raya,"AC, TV, Laundry, Kamar Mandi",0536-3221993
16,RUNGAN SARI RESORT,MELATI,24,48,Jln. Tjilik Riwut Km.36 P.Raya,"WIFI, Cafe dan Restorant, Swiming Pool, Sport Fasilitas, Metting Room,",TELP. 0536-3333878/08115208801
17,HOTEL BANAMA TINGANG,MELATI,20,40,Jln. A.Yani No.37 P. Raya,"AC, TV, Musholla,",0536-3228054
18,HOTEL GLOBAL EXPRES,MELATI,26,52,Jln. A.Yani No. 51 P.Raya,"TV,AC,WIFI,Laundry",0536-3230999
19,HOTEL DIAN WISATA,MELATI,13,21,Jln. A.Yani No. 31 P.Raya,"AC, Kipas Angin, WIFI, Loundry",0536-3221241
20,HOTEL YANTI,MELATI,20,28,Jln. A.Yani No. 82 A,"AC, TV,",0536-3221634
21,HOTEL LAMPANG,MELATI,29,51,"Jln, Irian No. 2 P.Raya","TV, AC, Telepon, Air Panas/ Dinding, Serapan",0536-3220003/3220622
