0,1,2
NO,NAMA HOTEL/RESORT,ALAMAT
1.,Hotel Swissbel Danum,Jl. Tjilik Riwut Km.5 (0536-3232568)
2.,Hotel Grand Global,Jl. Tjilik Riwut Km. 1 (0536-3222888 – 05363222888)
3.,Hotel Royal Global,"Jl. Tjilik Riwut Km 2,5 (0821-3763-7613)"
4.,Hotel Aquarius Boutique,Jl. Imam Bonjol No. 5 (0536-32422121)
5.,Hotel Duta Nansarunai,"Jl. Tjilik Riwut Km. 5,5 (0536-3231427)"
6.,Hotel Marimar,"Jl. Tjilik Riwut Km 2,5"
7.,Hotel Neo Palma,Jl. Tjilik Riwut Km. 1
8.,Hotel Ratama,Jl. Tjilik Riwut Km. 4
9.,Hotel Dian Wisata,Jl. A. Yani (0536-3221241)
10.,Hotel Global Expres,Jl. A. Yani. (0536-3230-999)
11.,Hotel BanamaTingang,Jl. A. Yani No.37(0536-3228054)
12.,Hotel Artz,Jl. Seth Adji No.31
13.,Hotel Yanti,Jl. A. Yani No. 82 (0536-3221-634/ 0821-5908-5038)
14.,Hotel Amaris,Jl. S. Parman No. 60 (0536-3223-888/3238-999)
15.,Hotel Foni,"Jl. K.S Tubun 28, (0536-3222754/3222753)"
16.,Hotel Lampang,Jl. Irian No. 2 (0536-3220003/3220622)
17.,Hotel Mina,Jl. Nias No. 17 (0536322182/3265642)/ HP.085246388867
18.,Hotel Mahkota,Jl. Nias No. 05 (0536-3221672/3222649)/Hp.081346857043
19.,Hotel Payang,Jl. Nias No.06 (0536-3224993)
20.,Hotel Putir Sinta,Jl. Nias No.09. Hp. 085280009002
21.,Hotel Sahid Raya,Jl. Bali
22.,Hotel Halmahera,Jl. Halmahera (0536-3221993 – 0536-3221222)
23.,Hotel Panarung,Jl. Dr. Murjani No. 53 (HP. 082217173638)
24.,Hotel Rachman,"Jl. Dr. Murjani No. 9, (0536-3221428)"
25.,Hotel Serasi,"Jl. Dr. Murjani No. 56, (0536-3223682)/ HP.081253500074"
26.,Hotel Surya Kahayan,Jl. Diponegoro No. 40
27.,Hotel Nascar Family,Jl. Nyai Undang No. O4
28.,Hotel Grand Sakura,"Jl. RTA. Milono No. 107 Km. 3,5 (0536 3235888)"
29.,Hotel Melati Wisata,Jl. RTA. Milono No. 12 (0536-3224176)
30.,Hotel Sahid Tamara,"Jl. RTA. Milono Km. 3,5 No. 109 (0536-3235501)"
31.,Hotel Batu Suli Internasional,Jl. Raden Saleh No. 4 (0536-3244765)
32.,Hotel Batu Suli,Jl. Raden Saleh No. 1 (0536-3238369)
33.,Hotel Luwansa,Jl. G.Obos (0563-3242828)
34.,Hotel Ando Raya,"Jl. Yos Sudarso No. 85, (082255930707)"
35.,Hotel Fovere,Jl. G. Obos No. 97
36.,Hotel Aman,Jl. Galaxy II No. 9 (0536-3227258)
37.,Hotel Fairuz,Jl. Damang Leman No. 9 (0536-3222147)
38.,Hotel Hawaii,Jl. Bubut No. 3 (0536-3222835/3224922)
40.,Hotel City Inn,Jl. Antang No. 9 Palangka Raya
41.,Hotel Avicenna,Jl. Merak (0536-3222557)
42.,Hotel Triana,Jl. Rajawali No. 12 (0536-3221634)
43.,Hotel Obelix,Jl. Rajawali
45.,Rungan Sari Resort,Jl. Tjilik Riwut Km. 36 (0536-3333-878)
,,
No.,WISMA/GUEST HOUSE,ALAMAT
1.,Wisma Kutilang,Jl. Kutilang No. 140 (0536-3247752/082250509008)
2.,Wisma Berkat Makmur,Jl. Bukit Raya IX
3.,Wisma Pangrango,"Jl. Pangrango Bukit Hindu, (082255619192 – 08125018949)"
4.,Wisma Anggrek,Jl. Hausman Baboe No. 12
5.,Wisma Liontin,Jl. Sangga Buana I No. 32 (0536-3222470)
6.,Wisma Subur Jaya,Jl. Cik Ditiro No. 14 (085247092887)
7.,Wisma Orchid,Jl. Garuda Induk
8.,Wisma Anggrek,Jl. Hausman Baboe No. 12
9.,Wangga Bella Home Stay,Jl. Rajawali IIB P.Raya. (0823-5238-4081)
10.,Wisma Wagga Wagga,Jl. Batu Suli No. 24
11.,Wisma Grand Patria,Jl. Moris Ismail (0812-5033-3473)
12.,Wisma WaggaMama,Jl. Set Adji
13.,Wisma Graha Kanata,Jl. Nyai Undang
14.,Wisma Evania,Jl. Tambun Raya No. 7
15.,Wisma Cempaka,Jl. Temanggung Tandang No.60 (0821-5778-9230)
16.,Wisma Rumah Amanda,Jl. Beruk Anggis No.22. (0822-5059-8763)
17.,Bukit Raya Quest House,"Jl. BatuSuli V D, Gg. Bersama No. 02 (0811-519-941)"
18.,Lavender Guest House,Jl. Diponegoro Ujung/ Tembok Bandara (0821-5531-8177)
19.,Anak Raja Guest House,Jl. Seth Adji
20.,Madina Guest House,Jl. Brokoli IV No. 08. (0853-6586-5101)
21.,Tunjung Nyaho Guest House,Jl. Raya Galaxi No. 94. (0536-3239-626/0812-5095-2008)
22.,Tulip Guest House,Jl. Menteng IV (0822-5171-0555)
23.,Tilung Guest House,Jl. Temanggung Tilung. (0812-2555-5501)
24.,Sera’s Homestay,Jl. Gajah Mada No.12 (0812-8532-321)
25.,Villa Bougenville,Jl. Tjilik Riwut Km. 35. (0813-5140-4655)
