judul,jenis_output,fungsi_folder,url_sumber,file_output,alasan
"Calendar of Event 2026 Resmi Diluncurkan, Palangka Raya Siap Hadirkan Event Unggulan Sepanjang Tahun",pdf_asli,deskriptif/event_pariwisata,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2026/07/Calendar-Of-Event-2026.pdf,d:\Nurdin\Skripsi Sheila\knowledge\deskriptif/event_pariwisata\dokumen_asli_pdf\calendar_of_event_2026.pdf,raw_source_pdf
Data Kunjungan Wisatawan Tahun 2025 Kota Palangka Raya,pdf_asli,tabular/data_kunjungan_wisata,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2026/02/Data-kunjungan-tahun-2025.pdf,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_kunjungan_wisata\dokumen_asli_pdf\data_kunjungan_tahun_2025.pdf,raw_source_pdf
Bangunan Cagar Budaya Gedung 1 pada SMPN 1 Palangka Raya,pdf_asli,deskriptif/budaya_dan_cagar_budaya,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2026/02/CB-Gedung-1-pada-SMPN-1-Palangka-Raya.pdf,d:\Nurdin\Skripsi Sheila\knowledge\deskriptif/budaya_dan_cagar_budaya\dokumen_asli_pdf\cb_gedung_1_pada_smpn_1_palangka_raya.pdf,raw_source_pdf
Cagar Budaya Tiang Sandung Bawi Kuwu (Jihi Sandung Bawi Kuwu) Tumbang Rakumpit,pdf_asli,deskriptif/budaya_dan_cagar_budaya,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2026/02/CB-Tiang-Sandung-Bawi-Kuwu.pdf,d:\Nurdin\Skripsi Sheila\knowledge\deskriptif/budaya_dan_cagar_budaya\dokumen_asli_pdf\cb_tiang_sandung_bawi_kuwu.pdf,raw_source_pdf
Cagar Budaya Bangunan Gedung 1 pada SDN 1 Langkai,pdf_asli,deskriptif/artikel_dan_berita_pariwisata,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2026/02/CB-Gedung-1-pada-SDN-1-Langkai.pdf,d:\Nurdin\Skripsi Sheila\knowledge\deskriptif/artikel_dan_berita_pariwisata\dokumen_asli_pdf\cb_gedung_1_pada_sdn_1_langkai.pdf,raw_source_pdf
Bangunan Cagar Budaya Rumah Demetrius Runjan (Huma Demetrius Runjan),pdf_asli,deskriptif/artikel_dan_berita_pariwisata,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2026/02/CB-Rumah-Demetrius-Runjan.pdf,d:\Nurdin\Skripsi Sheila\knowledge\deskriptif/artikel_dan_berita_pariwisata\dokumen_asli_pdf\cb_rumah_demetrius_runjan.pdf,raw_source_pdf
Bangunan Cagar Budaya Rumah Tugu Tuah (Huma Tugu Tuah),pdf_asli,deskriptif/artikel_dan_berita_pariwisata,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2026/02/CB-Rumah-Tugu-Tuah.pdf,d:\Nurdin\Skripsi Sheila\knowledge\deskriptif/artikel_dan_berita_pariwisata\dokumen_asli_pdf\cb_rumah_tugu_tuah.pdf,raw_source_pdf
Data Wisata Sandung Bawi Kuwu,pdf_asli,tabular/lainnya,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2025/12/Data-Sandung-Bawi-Kuwu.pdf,d:\Nurdin\Skripsi Sheila\knowledge\tabular/lainnya\dokumen_asli_pdf\data_sandung_bawi_kuwu.pdf,raw_source_pdf
Data Travel Agen Kota Palangka Raya 2024,pdf_asli,tabular/lainnya,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2025/11/Data-Travel-Agent-2024-update.pdf,d:\Nurdin\Skripsi Sheila\knowledge\tabular/lainnya\dokumen_asli_pdf\data_travel_agent_2024_update.pdf,raw_source_pdf
Data Rumah Makan dan Resto Palangka Raya 2024,pdf_asli,tabular/direktori_restoran_dan_rumah_makan,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2025/11/Data-Rmah-Makan-dan-Restoran-2024.pdf,d:\Nurdin\Skripsi Sheila\knowledge\tabular/direktori_restoran_dan_rumah_makan\dokumen_asli_pdf\data_rmah_makan_dan_restoran_2024.pdf,raw_source_pdf
Data Obyek Wisata Kota Palangka Raya Update 2024,pdf_asli,tabular/lainnya,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2025/10/Data-Obyek-Wisata-2024.pdf,d:\Nurdin\Skripsi Sheila\knowledge\tabular/lainnya\dokumen_asli_pdf\data_obyek_wisata_2024.pdf,raw_source_pdf
RUNDOWN RAWA FEST ECOTOURISM 2025,pdf_asli,deskriptif/event_pariwisata,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2025/09/RUNDOWN_Rawa-Fest-Ecotourism-18-21-Sep-2025.docx.pdf,d:\Nurdin\Skripsi Sheila\knowledge\deskriptif/event_pariwisata\dokumen_asli_pdf\rundown_rawa_fest_ecotourism_18_21_sep_2025_docx.pdf,raw_source_pdf
Dinas Pariwisata dan OPD Palangka Raya Kompak Jaga Kebersihan Kota,pdf_asli,deskriptif/artikel_dan_berita_pariwisata,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2025/08/Surat-Edaran-Bersih-Bersih-Kota-28-Agustus-2052.pdf,d:\Nurdin\Skripsi Sheila\knowledge\deskriptif/artikel_dan_berita_pariwisata\dokumen_asli_pdf\surat_edaran_bersih_bersih_kota_28_agustus_2052.pdf,raw_source_pdf
Data Cagar Budaya Kota Palangka Raya,pdf_asli,tabular/data_cagar_budaya,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2025/10/Data-CB-2024-1.pdf,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_cagar_budaya\dokumen_asli_pdf\data_cb_2024_1.pdf,raw_source_pdf
Direktori Sanggar di Kota Palangka Raya,pdf_asli,tabular/direktori_sanggar,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2022/02/DATA-SANGGAR-DI-KOTA-PALANGKA-RAYA.pdf,d:\Nurdin\Skripsi Sheila\knowledge\tabular/direktori_sanggar\dokumen_asli_pdf\data_sanggar_di_kota_palangka_raya.pdf,raw_source_pdf
Data Kunjungan Wisatawan 2025,pdf_asli,tabular/data_kunjungan_wisata,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2026/02/Data-kunjungan-tahun-2025.pdf,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_kunjungan_wisata\dokumen_asli_pdf\data_kunjungan_tahun_2025.pdf,raw_source_pdf
