parent_id,judul,tipe_dokumen,kelompok,kategori,sumber,tanggal,url_sumber,file_asal,file_upload,sha256,ukuran_byte,jumlah_baris_data,siap_upload
deskriptif__objek_wisata__jelajahi_sandung_ngabe_soekah_destinasi_wisata_budaya_yang_sarat_makna_di_kota_cantik_palangka_raya,"Jelajahi Sandung Ngabe Soekah, Destinasi Wisata Budaya yang Sarat Makna di Kota Cantik Palangka Raya",pdf,deskriptif,objek_wisata,post,2026-07-28,https://disparbudpora.palangkaraya.go.id/jelajahi-sandung-ngabe-soekah-destinasi-wisata-budaya-yang-sarat-makna-di-kota-cantik-palangka-raya/,deskriptif/objek_wisata/jelajahi_sandung_ngabe_soekah_destinasi_wisata_budaya_yang_sarat_makna_di_kota_cantik_palangka_raya.pdf,documents/deskriptif/objek_wisata/jelajahi_sandung_ngabe_soekah_destinasi_wisata_budaya_yang_sarat_makna_di_kota_cantik_palangka_raya.pdf,feefcc7ac6e81c603956f28ab411c9a3778693e5b32c9b5420514d947b6508dd,8821,,ya
deskriptif__budaya_dan_cagar_budaya__wisata_alam_yang_cocok_untuk_pecinta_petualangan_di_palangka_raya,Wisata Alam yang Cocok untuk Pecinta Petualangan di Palangka Raya,pdf,deskriptif,budaya_dan_cagar_budaya,post,2026-07-27,https://disparbudpora.palangkaraya.go.id/wisata-alam-yang-cocok-untuk-pecinta-petualangan-di-palangka-raya/,deskriptif/budaya_dan_cagar_budaya/wisata_alam_yang_cocok_untuk_pecinta_petualangan_di_palangka_raya.pdf,documents/deskriptif/budaya_dan_cagar_budaya/wisata_alam_yang_cocok_untuk_pecinta_petualangan_di_palangka_raya.pdf,8449f99ae1da4569b39718733b2c023dd9a0b6b74ea9fe16af713aea0695dbf9,5012,,ya
deskriptif__objek_wisata__2_tempat_piknik_keluarga_di_palangka_raya_yang_wajib_dikunjungi,2 Tempat Piknik Keluarga di Palangka Raya yang Wajib Dikunjungi,pdf,deskriptif,objek_wisata,post,2026-07-26,https://disparbudpora.palangkaraya.go.id/2-tempat-piknik-keluarga-di-palangka-raya-yang-wajib-dikunjungi/,deskriptif/objek_wisata/2_tempat_piknik_keluarga_di_palangka_raya_yang_wajib_dikunjungi.pdf,documents/deskriptif/objek_wisata/2_tempat_piknik_keluarga_di_palangka_raya_yang_wajib_dikunjungi.pdf,42548eacefec945b9987db07bff6795229c93c3eb450fdd21f1e5f7fd08941ed,7186,,ya
deskriptif__budaya_dan_cagar_budaya__disparbudpora_hadiri_festival_sastra_hski_perkuat_kolaborasi_pelestarian_budaya_daerah,"DISPARBUDPORA Hadiri Festival Sastra HSKI, Perkuat Kolaborasi Pelestarian Budaya Daerah",pdf,deskriptif,budaya_dan_cagar_budaya,post,2026-07-22,https://disparbudpora.palangkaraya.go.id/disparbudpora-hadiri-festival-sastra-hski-perkuat-kolaborasi-pelestarian-budaya-daerah/,deskriptif/budaya_dan_cagar_budaya/disparbudpora_hadiri_festival_sastra_hski_perkuat_kolaborasi_pelestarian_budaya_daerah.pdf,documents/deskriptif/budaya_dan_cagar_budaya/disparbudpora_hadiri_festival_sastra_hski_perkuat_kolaborasi_pelestarian_budaya_daerah.pdf,3f6d3d604bbfafb6a4cf2852ae0584372fca97713061de2fac6234f136b97a91,6542,,ya
deskriptif__objek_wisata__menjelajah_hutan_pendidikan_wisata_edukasi_yang_menenangkan_sekaligus_menginspirasi,Menjelajah Hutan Pendidikan: Wisata Edukasi yang Menenangkan Sekaligus Menginspirasi,pdf,deskriptif,objek_wisata,post,2026-07-21,https://disparbudpora.palangkaraya.go.id/menjelajah-hutan-pendidikan-wisata-edukasi-yang-menenangkan-sekaligus-menginspirasi/,deskriptif/objek_wisata/menjelajah_hutan_pendidikan_wisata_edukasi_yang_menenangkan_sekaligus_menginspirasi.pdf,documents/deskriptif/objek_wisata/menjelajah_hutan_pendidikan_wisata_edukasi_yang_menenangkan_sekaligus_menginspirasi.pdf,15fd94af22c9ec2cbaf34f02d6851d476362648b2af72a293a6528b5c64f5a82,5828,,ya
deskriptif__artikel_dan_berita__sebelum_traveling_wajib_tahu_5_etika_berwisata_yang_sering_diabaikan,"Sebelum Traveling, Wajib Tahu! 5 Etika Berwisata yang Sering Diabaikan",pdf,deskriptif,artikel_dan_berita,post,2026-07-17,https://disparbudpora.palangkaraya.go.id/sebelum-traveling-wajib-tahu-5-etika-berwisata-yang-sering-diabaikan/,deskriptif/artikel_dan_berita_pariwisata/sebelum_traveling_wajib_tahu_5_etika_berwisata_yang_sering_diabaikan.pdf,documents/deskriptif/artikel_dan_berita/sebelum_traveling_wajib_tahu_5_etika_berwisata_yang_sering_diabaikan.pdf,7a55275b1b81fc078afe3c863821b917fc64caf6c34f7d89e5ce7c04c6291624,5985,,ya
deskriptif__event_pariwisata__pesona_sabangau_fest_2026_meriahkan_hari_jadi_kota_palangka_raya_dengan_kolaborasi_seni_budaya_dan_pariwisata,"Pesona Sabangau Fest 2026 Meriahkan Hari Jadi Kota Palangka Raya dengan Kolaborasi Seni, Budaya, dan Pariwisata",pdf,deskriptif,event_pariwisata,post,2026-07-16,https://disparbudpora.palangkaraya.go.id/pesona-sabangau-fest-2026-meriahkan-hari-jadi-kota-palangka-raya-dengan-kolaborasi-seni-budaya-dan-pariwisata/,deskriptif/event_pariwisata/pesona_sabangau_fest_2026_meriahkan_hari_jadi_kota_palangka_raya_dengan_kolaborasi_seni_budaya_dan_pariwisata.pdf,documents/deskriptif/event_pariwisata/pesona_sabangau_fest_2026_meriahkan_hari_jadi_kota_palangka_raya_dengan_kolaborasi_seni_budaya_dan_pariwisata.pdf,f296d85580a72acf84884f479912b0dbe60a162184ec8772e7ef5fcc6973292b,7885,,ya
deskriptif__objek_wisata__mengenal_rusa_sambar_si_payau_yang_menjadi_kebanggaan_kalimantan_tengah,"Mengenal Rusa Sambar, Si Payau yang Menjadi Kebanggaan Kalimantan Tengah",pdf,deskriptif,objek_wisata,post,2026-07-15,https://disparbudpora.palangkaraya.go.id/mengenal-rusa-sambar-si-payau-yang-menjadi-kebanggaan-kalimantan-tengah/,deskriptif/objek_wisata/mengenal_rusa_sambar_si_payau_yang_menjadi_kebanggaan_kalimantan_tengah.pdf,documents/deskriptif/objek_wisata/mengenal_rusa_sambar_si_payau_yang_menjadi_kebanggaan_kalimantan_tengah.pdf,43589b7777feeeab0515baee4d405d374d9ad348c3db20ecaf1ad88ca13c4fba,6283,,ya
deskriptif__objek_wisata__menjelajahi_manasa_agrowisata_permata_hijau_baru_di_palangka_raya,Menjelajahi Manasa Agrowisata: Permata Hijau Baru di Palangka Raya,pdf,deskriptif,objek_wisata,post,2026-07-14,https://disparbudpora.palangkaraya.go.id/menjelajahi-manasa-agrowisata-permata-hijau-baru-di-palangka-raya/,deskriptif/objek_wisata/menjelajahi_manasa_agrowisata_permata_hijau_baru_di_palangka_raya.pdf,documents/deskriptif/objek_wisata/menjelajahi_manasa_agrowisata_permata_hijau_baru_di_palangka_raya.pdf,d30747505ee5a13a48ecfe01441d8fd45f466500ce6bad91d3927fc5cadabc8a,5524,,ya
deskriptif__event_pariwisata__calendar_of_event_2026_resmi_diluncurkan_palangka_raya_siap_hadirkan_event_unggulan_sepanjang_tahun,"Calendar of Event 2026 Resmi Diluncurkan, Palangka Raya Siap Hadirkan Event Unggulan Sepanjang Tahun",pdf,deskriptif,event_pariwisata,post,2026-07-13,https://disparbudpora.palangkaraya.go.id/calendar-of-event-2026-resmi-diluncurkan-palangka-raya-siap-hadirkan-event-unggulan-sepanjang-tahun/,deskriptif/event_pariwisata/calendar_of_event_2026_resmi_diluncurkan_palangka_raya_siap_hadirkan_event_unggulan_sepanjang_tahun.pdf,documents/deskriptif/event_pariwisata/calendar_of_event_2026_resmi_diluncurkan_palangka_raya_siap_hadirkan_event_unggulan_sepanjang_tahun.pdf,102467ba9bb853dea2d4f261f608b3154474544a81ba3e3e3bf5e90f02f4b79d,8450,,ya
